"code","labels","SBI1","SBI2","SBI3","SBI4"
"A","Landbouw, bosbouw en visserij","A",,,
"B","Winning van delfstoffen ","B",,,
"C","Industrie","C",,,
"D","Productie en distributie van en handel in elektriciteit, aardgas, stoom en gekoelde lucht ","D",,,
"E","Winning en distributie van water; afval- en afvalwaterbeheer en sanering ","E",,,
"F","Bouwnijverheid","F",,,
"G","Groot- en detailhandel; reparatie van auto's ","G",,,
"H","Vervoer en opslag ","H",,,
"I","Logies-, maaltijd- en drankverstrekking ","I",,,
"J","Informatie en communicatie","J",,,
"K","Financiële instellingen ","K",,,
"L","Verhuur van en handel in onroerend goed","L",,,
"M","Advisering, onderzoek en overige specialistische zakelijke dienstverlening ","M",,,
"N","Verhuur van roerende goederen en overige zakelijke dienstverlening ","N",,,
"O"," Openbaar bestuur, overheidsdiensten en verplichte sociale verzekeringen","O",,,
"P","Onderwijs ","P",,,
"Q","Gezondheids- en welzijnszorg ","Q",,,
"R","Cultuur, sport en recreatie","R",,,
"S","Overige dienstverlening","S",,,
"T","Huishoudens als werkgever; niet-gedifferentieerde productie van goederen en diensten    door huishoudens voor eigen gebruik","T",,,
"U","Extraterritoriale organisaties en lichamen","U",,,
