"code","labels","SBI1","SBI2","SBI3","SBI4"
"16.29","Vervaardiging van overige artikelen van hout en van artikelen van kurk, riet en vlechtwerk (geen ","C","16","2","9"
"17.11","Vervaardiging van papierpulp","C","17","1","1"
"17.12","Vervaardiging van papier en karton","C","17","1","2"
"17.12.1","Vervaardiging van grafisch papier en karton","C","17","1","2"
"17.12.2","Vervaardiging van papier en karton voor verpakking","C","17","1","2"
"17.12.9","Vervaardiging van papier en karton (geen grafisch en niet voor verpakking)","C","17","1","2"
"17.21","Vervaardiging van verpakkingsmiddelen van papier en karton; vervaardiging van golfpapier en","C","17","2","1"
"17.21.1","Vervaardiging van verpakkingsmiddelen van papier en karton","C","17","2","1"
"17.21.2","Vervaardiging van golfpapier en -karton","C","17","2","1"
"17.22","Vervaardiging van huishoudelijke en sanitaire papierwaren","C","17","2","2"
"17.23","Vervaardiging van kantoorbenodigdheden van papier","C","17","2","3"
"17.24","Vervaardiging van behangselpapier","C","17","2","4"
"17.29","Vervaardiging van overige papier- en kartonwaren ","C","17","2","9"
"18.11","Drukkerijen van dagbladen","C","18","1","1"
"18.12","Overige drukkerijen","C","18","1","2"
"18.12.1","Drukkerijen van boeken e.d.","C","18","1","2"
"18.12.2","Drukkerijen van tijdschriften ","C","18","1","2"
"18.12.3","Drukkerijen van reclame","C","18","1","2"
"18.12.4","Drukkerijen van verpakkingen","C","18","1","2"
"18.12.5","Drukkerijen van formulieren","C","18","1","2"
"18.12.9","Overige drukkerijen n.e.g. ","C","18","1","2"
"18.13","Prepress- en premedia-activiteiten","C","18","1","3"
"18.14","Grafische afwerking en overige activiteiten verwant aan de drukkerij ","C","18","1","4"
"18.20","Reproductie van opgenomen media","C","18","2","0"
"19.10","Vervaardiging van cokesovenproducten","C","19","1","0"
"19.20","Aardolieverwerking","C","19","2","0"
"19.20.1","Aardolieraffinage","C","19","2","0"
"19.20.2","Aardolieverwerking (geen -raffinage)","C","19","2","0"
"20.11","Vervaardiging van industriële gassen","C","20","1","1"
"20.12","Vervaardiging van kleur- en verfstoffen","C","20","1","2"
"20.13","Vervaardiging van overige anorganische basischemicaliën ","C","20","1","3"
"20.14","Vervaardiging van overige organische basischemicaliën ","C","20","1","4"
"20.14.1","Vervaardiging van petrochemische producten","C","20","1","4"
"20.14.9","Vervaardiging van overige organische basischemicaliën (geen petrochemische producten)","C","20","1","4"
"20.15","Vervaardiging van kunstmeststoffen en stikstofverbindingen","C","20","1","5"
"20.16","Vervaardiging van kunststof in primaire vorm","C","20","1","6"
"20.17","Vervaardiging van synthetische rubber in primaire vorm","C","20","1","7"
"20.20","Vervaardiging van verdelgingsmiddelen en overige landbouwchemicaliën","C","20","2","0"
"20.30","Vervaardiging van verf, vernis e.d., drukinkt en mastiek","C","20","3","0"
"20.41"," Vervaardiging van zeep, wasmiddelen, poets- en reinigingsmiddelen","C","20","4","1"
"20.42","Vervaardiging van parfums en cosmetica","C","20","4","2"
"20.51","Vervaardiging van kruit en springstoffen en van lucifers","C","20","5","1"
"20.52","Vervaardiging van lijm en bereide kleefmiddelen","C","20","5","2"
"20.53","Vervaardiging van etherische oliën","C","20","5","3"
"20.59","Vervaardiging van  overige chemische producten n.e.g.","C","20","5","9"
"20.60","Vervaardiging van synthetische en kunstmatige vezels","C","20","6","0"
"21.10","Vervaardiging van farmaceutische grondstoffen","C","21","1","0"
"21.20","Vervaardiging van farmaceutische producten (geen grondstoffen)","C","21","2","0"
"22.11","Vervaardiging van rubberbanden en loopvlakvernieuwing","C","22","1","1"
"22.19","Vervaardiging van producten van rubber (geen banden)","C","22","1","9"
"22.21","Vervaardiging van platen, folie, buizen en profielen van kunststof","C","22","2","1"
"22.22","Vervaardiging van verpakkingsmiddelen van kunststof","C","22","2","2"
"22.23","Vervaardiging van kunststofproducten voor de bouw","C","22","2","3"
"22.29","Vervaardiging van overige producten van kunststof","C","22","2","9"
"23.11","Vervaardiging van vlakglas","C","23","1","1"
"23.12","Vormen en bewerken van vlakglas","C","23","1","2"
"23.13","Vervaardiging van holglas","C","23","1","3"
"23.14","Vervaardiging van glasvezels","C","23","1","4"
"23.19","Vervaardiging en bewerking van overig  glas,  inclusief technisch glaswerk","C","23","1","9"
"23.20","Vervaardiging van vuurvaste keramische  producten","C","23","2","0"
"23.31","Vervaardiging van keramische tegels en plavuizen","C","23","3","1"
"23.32","Vervaardiging van  keramische producten voor de bouw (geen tegels en plavuizen)","C","23","3","2"
"23.41","Vervaardiging van huishoudelijk en sieraardewerk","C","23","4","1"
"23.42","Vervaardiging van sanitair aardewerk","C","23","4","2"
"23.43","Vervaardiging van isolatoren en isolatiemateriaal van keramische stoffen","C","23","4","3"
"23.44","Vervaardiging van overig technisch aardewerk","C","23","4","4"
"23.49","Vervaardiging van overige keramische producten n.e.g.","C","23","4","9"
"23.51","Vervaardiging van cement","C","23","5","1"
"23.52","Vervaardiging van kalk en gips","C","23","5","2"
"23.61","Vervaardiging van producten van beton voor de bouw en van kalkzandsteen","C","23","6","1"
"23.61.1","Vervaardiging van producten van beton voor de bouw","C","23","6","1"
"23.61.2","Vervaardiging van kalkzandsteen","C","23","6","1"
"23.62","Vervaardiging van producten van gips voor de bouw","C","23","6","2"
"23.63","Vervaardiging van stortklare beton","C","23","6","3"
"23.64","Vervaardiging van mortel in droge vorm","C","23","6","4"
"23.65","Vervaardiging van producten van vezelcement","C","23","6","5"
"23.69","Vervaardiging van overige producten van beton, gips en cement","C","23","6","9"
"23.70","Natuursteenbewerking","C","23","7","0"
"23.91","Vervaardiging van schuur-, slijp- en polijstmiddelen","C","23","9","1"
"23.99","Vervaardiging van overige niet-metaalhoudende minerale producten (geen schuur-, slijp- en ","C","23","9","9"
"24.10","Vervaardiging van ijzer en staal en van ferrolegeringen","C","24","1","0"
"24.20","Vervaardiging van stalen buizen, pijpen, holle profielen en fittings daarvoor","C","24","2","0"
"24.31","Koudtrekken van staven","C","24","3","1"
"24.32","Koudwalsen van bandstaal","C","24","3","2"
"24.33","Koudvervormen en koudfelsen","C","24","3","3"
"24.34","Koudtrekken van draad","C","24","3","4"
"24.41","Vervaardiging van edelmetalen","C","24","4","1"
"24.42","Vervaardiging van aluminium","C","24","4","2"
"24.43","Vervaardiging van lood, zink en tin","C","24","4","3"
"24.44","Vervaardiging van koper","C","24","4","4"
"24.45","Vervaardiging van overige non-ferrometalen","C","24","4","5"
"24.46","Smelten en raffineren van uranium","C","24","4","6"
"24.51","Gieten van ijzer ","C","24","5","1"
"24.52","Gieten van staal","C","24","5","2"
"24.53","Gieten van lichte metalen","C","24","5","3"
"24.54","Gieten van overige  non-ferrometalen","C","24","5","4"
"25.11","Vervaardiging van metalen constructiewerken en delen daarvan","C","25","1","1"
"25.12","Vervaardiging van metalen deuren, vensters en kozijnen","C","25","1","2"
"25.21","Vervaardiging van ketels en radiatoren voor centrale verwarming","C","25","2","1"
"25.29","Vervaardiging van metalen tanks en reservoirs","C","25","2","9"
"25.30","Vervaardiging van stoomketels (geen ketels voor centrale verwarming)","C","25","3","0"
"25.40","Vervaardiging van wapens en munitie","C","25","4","0"
"25.50","Smeden, persen, stampen en profielwalsen van metaal; poedermetallurgie","C","25","5","0"
"25.61","Oppervlaktebehandeling en bekleding van metaal","C","25","6","1"
"25.62","Algemene metaalbewerking","C","25","6","2"
"25.71","Vervaardiging van scharen, messen en bestek","C","25","7","1"
"25.72","Vervaardiging van hang- en sluitwerk","C","25","7","2"
"25.73","Vervaardiging van gereedschap","C","25","7","3"
"25.91","Vervaardiging van stalen vaten e.d.","C","25","9","1"
"25.92","Vervaardiging van verpakkingsmiddelen van licht metaal","C","25","9","2"
"25.93","Vervaardiging van artikelen van draad en van kettingen en veren","C","25","9","3"
"25.94","Vervaardiging van bouten, schroeven en moeren","C","25","9","4"
"25.99","Vervaardiging van overige producten van metaal n.e.g.","C","25","9","9"
"26.11","Vervaardiging van elektronische componenten","C","26","1","1"
"26.12","Vervaardiging van elektronische printplaten","C","26","1","2"
"26.20","Vervaardiging van computers en randapparatuur","C","26","2","0"
"26.30","Vervaardiging van communicatieapparatuur","C","26","3","0"
"26.40","Vervaardiging van consumentenelektronica","C","26","4","0"
"26.51","Vervaardiging van meet-, regel-, navigatie- en controleapparatuur","C","26","5","1"
"26.52","Vervaardiging van uurwerken","C","26","5","2"
"26.60","Vervaardiging van bestralingsapparatuur en van elektromedische en elektrotherapeutische","C","26","6","0"
"26.70","Vervaardiging van optische instrumenten en apparatuur","C","26","7","0"
"26.80","Vervaardiging van informatiedragers","C","26","8","0"
"27.11","Vervaardiging van elektromotoren,  elektrische generatoren en transformatoren","C","27","1","1"
"27.12","Vervaardiging van schakel- en verdeelinrichtingen","C","27","1","2"
"27.20","Vervaardiging van batterijen en accumulatoren","C","27","2","0"
"27.31","Vervaardiging van kabels van optische vezels","C","27","3","1"
"27.32","Vervaardiging van overige elektrische en elektronische kabel","C","27","3","2"
"27.33","Vervaardiging van schakelaars, stekkers, stopcontacten e.d.","C","27","3","3"
"27.40","Vervaardiging van elektrische lampen en verlichtingsapparaten ","C","27","4","0"
"27.51","Vervaardiging van elektrische huishoudapparaten","C","27","5","1"
"27.52","Vervaardiging van niet-elektrische huishoudapparaten","C","27","5","2"
"27.90","Vervaardiging van overige elektrische apparatuur","C","27","9","0"
"28.11","Vervaardiging van motoren en turbines (niet voor vliegtuigen, motorvoertuigen en bromfietsen)","C","28","1","1"
"28.12","Vervaardiging van hydraulische apparatuur","C","28","1","2"
"28.13","Vervaardiging van niet-hydraulische pompen en compressoren","C","28","1","3"
"28.14","Vervaardiging van appendages","C","28","1","4"
"28.15","Vervaardiging van tandwielen, lagers en overige drijfwerkelementen","C","28","1","5"
"28.21","Vervaardiging van industriële ovens en branders","C","28","2","1"
"28.22","Vervaardiging van hijs-, hef- en transportwerktuigen","C","28","2","2"
"28.23","Vervaardiging van kantoormachines en -apparatuur (geen computers en randapparatuur)","C","28","2","3"
"28.24","Vervaardiging van pneumatisch en elektrisch handgereedschap ","C","28","2","4"
"28.25","Vervaardiging van machines en apparaten voor industriële  koeltechniek en  klimaatregeling","C","28","2","5"
"28.29","Vervaardiging van  overige machines en apparaten voor algemeen gebruik n.e.g.","C","28","2","9"
"28.30","Vervaardiging van machines en werktuigen voor de land- en bosbouw","C","28","3","0"
"28.41","Vervaardiging van gereedschapswerktuigen voor metaalbewerking","C","28","4","1"
"28.49","Vervaardiging van  gereedschapswerktuigen niet voor metaalbewerking","C","28","4","9"
"28.91","Vervaardiging van machines voor de metallurgie","C","28","9","1"
"28.92","Vervaardiging van machines voor de bouw en winning van delfstoffen","C","28","9","2"
"28.93","Vervaardiging van machines voor de productie van voedings- en genotmiddelen","C","28","9","3"
"28.94","Vervaardiging van machines voor de productie van textiel, kleding en leer","C","28","9","4"
"28.95","Vervaardiging van machines voor de productie van papier en karton","C","28","9","5"
"28.96","Vervaardiging van machines voor de kunststof- en rubberindustrie","C","28","9","6"
"28.99","Vervaardiging van overige machines, apparaten en werktuigen voor specifieke doeleinden n.e.g.","C","28","9","9"
"29.10","Vervaardiging van auto's","C","29","1","0"
"29.20","Carrosseriebouw; vervaardiging van aanhangwagens en opleggers","C","29","2","0"
"29.20.1","Carrosseriebouw","C","29","2","0"
"29.20.2","Vervaardiging van aanhangwagens en opleggers","C","29","2","0"
"29.31","Vervaardiging van elektrische en elektronische onderdelen en toebehoren  voor auto's ","C","29","3","1"
"29.32","Vervaardiging van niet-elektrische en -elektronische  onderdelen en toebehoren voor auto's","C","29","3","2"
"30.11","Bouw van schepen en drijvend materieel (geen sport- en recreatievaartuigen) ","C","30","1","1"
"30.12","Bouw van sport- en recreatievaartuigen ","C","30","1","2"
"30.20","Vervaardiging van rollend spoor- en tramwegmaterieel ","C","30","2","0"
"30.30","Vervaardiging van vliegtuigen en onderdelen daarvoor","C","30","3","0"
"30.40","Vervaardiging van militaire gevechtsvoertuigen","C","30","4","0"
"30.91","Vervaardiging van motor- en bromfietsen","C","30","9","1"
"30.92","Vervaardiging van fietsen en invalidenwagens","C","30","9","2"
"30.99","Vervaardiging van overige transportmiddelen n.e.g.","C","30","9","9"
"31.01","Interieurbouw en vervaardiging van bedrijfsmeubels","C","31","0","1"
"31.01.1","Interieurbouw","C","31","0","1"
"31.01.2","Vervaardiging van bedrijfsmeubels","C","31","0","1"
"31.02","Vervaardiging van keukenmeubels","C","31","0","2"
"31.03","Vervaardiging van matrassen","C","31","0","3"
"31.09","Vervaardiging van overige meubels","C","31","0","9"
"32.11","Slaan van munten en medailles","C","32","1","1"
"32.12","Bewerken van edelstenen en vervaardiging van sieraden e.d. (geen imitatie)","C","32","1","2"
"32.13","Vervaardiging van imitatiesieraden ","C","32","1","3"
"32.20","Vervaardiging van muziekinstrumenten","C","32","2","0"
"32.30","Vervaardiging van sportartikelen","C","32","3","0"
"32.40","Vervaardiging van speelgoed en spellen","C","32","4","0"
"32.50","Vervaardiging van medische instrumenten en hulpmiddelen","C","32","5","0"
"32.50.1","Tandtechnische bedrijven","C","32","5","0"
"32.50.2","Vervaardiging van medische instrumenten en hulpmiddelen (geen tandtechniek)","C","32","5","0"
"32.91","Vervaardiging van borstelwaren","C","32","9","1"
"32.99","Sociale werkvoorziening en vervaardiging van overige goederen n.e.g. ","C","32","9","9"
"32.99.1","Sociale werkvoorziening","C","32","9","9"
"32.99.9","Vervaardiging van overige goederen n.e.g.","C","32","9","9"
"33.11","Reparatie van producten van metaal","C","33","1","1"
"33.12","Reparatie en onderhoud van machines","C","33","1","2"
"33.12.1","Reparatie en onderhoud van machines voor algemeen gebruik en machine-onderdelen (geen ","C","33","1","2"
"33.12.2","Reparatie en onderhoud van pneumatisch en elektrisch gereedschap en gereedschapswerktuigen","C","33","1","2"
"33.12.3","Reparatie en onderhoud van machines voor een specifieke bedrijfstak","C","33","1","2"
"33.13","Reparatie van elektronische en optische apparatuur","C","33","1","3"
"33.14","Reparatie van elektrische apparatuur","C","33","1","4"
"33.15","Reparatie en onderhoud van schepen","C","33","1","5"
"33.16","Reparatie en onderhoud van vliegtuigen","C","33","1","6"
"33.17","Reparatie en onderhoud van overige transportmiddelen","C","33","1","7"
"33.19","Reparatie van overige apparatuur","C","33","1","9"
"33.21","Installatie van ketels en tanks","C","33","2","1"
"33.22","Installatie van industriële machines","C","33","2","2"
"33.22.1","Installatie van machines voor algemeen gebruik (geen gereedschap)","C","33","2","2"
"33.22.2","Installatie van pneumatisch en elektrisch gereedschap en gereedschapswerktuigen","C","33","2","2"
"33.22.3","Installatie van machines voor een specifieke bedrijfstak","C","33","2","2"
"33.23","Installatie van elektronische en optische apparatuur","C","33","2","3"
"33.24","Installatie van elektrische apparatuur","C","33","2","4"
"33.29","Installatie van overige toebehoren","C","33","2","9"
"35.11","Productie van elektriciteit","D","35","1","1"
"35.11.1","Productie van elektriciteit door thermische, kern- en warmtekrachtcentrales","D","35","1","1"
"35.11.2","Productie van elektriciteit door windenergie ","D","35","1","1"
"35.11.3","Productie van elektriciteit door zonnecellen, warmtepompen en waterkracht","D","35","1","1"
"35.12","Beheer en exploitatie van transportnetten voor elektriciteit, aardgas en warm water","D","35","1","2"
"35.13","Distributie van elektriciteit en gasvormige brandstoffen via leidingen","D","35","1","3"
"35.14","Handel in elektriciteit en in gas via leidingen","D","35","1","4"
"35.20","Productie van aardgas","D","35","2","0"
"35.30","Productie en distributie van stoom en gekoelde lucht","D","35","3","0"
"36.00","Winning en distributie van water","E","36","0","0"
"37.00","Afvalwaterinzameling en -behandeling","E","37","0","0"
"38.11","Inzameling van onschadelijk afval","E","38","1","1"
"38.12","Inzameling van schadelijk afval","E","38","1","2"
"38.21","Behandeling van onschadelijk afval","E","38","2","1"
"38.22","Behandeling van schadelijk afval","E","38","2","2"
"38.31","Sloop van schepen, witgoed, computers e.d. ","E","38","3","1"
"38.32","Gesorteerd materiaal voorbereiden tot recycling","E","38","3","2"
"39.00","Sanering en overig afvalbeheer","E","39","0","0"
"41.10","Projectontwikkeling","F","41","1","0"
"41.20","Algemene burgerlijke en utiliteitsbouw","F","41","2","0"
"42.11","Wegenbouw en stratenmaken","F","42","1","1"
"42.11.1","Wegenbouw","F","42","1","1"
"42.11.2","Stratenmaken","F","42","1","1"
"42.12","Bouw van boven- en ondergrondse spoorwegen","F","42","1","2"
"42.13","Bouw van kunstwerken","F","42","1","3"
"42.21","Leggen van rioleringen, buizen en pijpleidingen; aanleg van bronbemaling","F","42","2","1"
"42.22","Leggen van elektriciteits- en telecommunicatiekabels ","F","42","2","2"
"42.91","Natte waterbouw","F","42","9","1"
"42.99","Bouw van overige civieltechnische werken n.e.g.","F","42","9","9"
"43.11","Slopen van bouwwerken","F","43","1","1"
"43.12","Grondverzet","F","43","1","2"
"43.13","Proefboren","F","43","1","3"
"43.21","Elektrotechnische bouwinstallatie","F","43","2","1"
"43.22","Loodgieters- en fitterswerk; installatie van sanitair en van verwarmings- en ","F","43","2","2"
"43.22.1","Loodgieters- en fitterswerk; installatie van sanitair ","F","43","2","2"
"43.22.2","Installatie van verwarmings- en luchtbehandelingsapparatuur","F","43","2","2"
"43.29","Overige bouwinstallatie","F","43","2","9"
"43.31","Stukadoren","F","43","3","1"
"43.32","Bouwtimmeren","F","43","3","2"
"43.33","Afwerking van vloeren en wanden ","F","43","3","3"
"43.34","Schilderen en glaszetten","F","43","3","4"
"43.39","Overige afwerking van gebouwen","F","43","3","9"
"43.91","Dakdekken en bouwen van dakconstructies ","F","43","9","1"
"43.99","Overige gespecialiseerde werkzaamheden in de bouw","F","43","9","9"
"43.99.1","Heien en andere funderingswerkzaamheden","F","43","9","9"
"43.99.2","Vlechten van betonstaal","F","43","9","9"
"43.99.3","Metselen en voegen","F","43","9","9"
"43.99.9","Overige gespecialiseerde werkzaamheden in de bouw n.e.g.","F","43","9","9"
"45.11","Handel in en reparatie van personenauto's en lichte bedrijfsauto's","G","45","1","1"
"45.11.1","Import van nieuwe personenauto's en lichte bedrijfsauto's","G","45","1","1"
"45.11.2","Handel in en reparatie van personenauto's en lichte bedrijfsauto's (geen import van nieuwe)","G","45","1","1"
"45.19","Handel in en reparatie van zwaardere bedrijfsauto's, aanhangers en caravans","G","45","1","9"
"45.19.1","Import van nieuwe bedrijfsauto's","G","45","1","9"
"45.19.2","Handel in en reparatie van zwaardere bedrijfsauto's (geen import van nieuwe) ","G","45","1","9"
"45.19.3","Handel in en reparatie van aanhangwagens en opleggers (geen caravans)","G","45","1","9"
"45.19.4","Handel in en reparatie van caravans","G","45","1","9"
"45.20","Gespecialiseerde reparatie van auto's","G","45","2","0"
"45.20.1","Auto-onderdelenservicebedrijven","G","45","2","0"
"45.20.2","Bandenservicebedrijven","G","45","2","0"
"45.20.3","Reparatie van specifieke auto-onderdelen","G","45","2","0"
"45.20.4","Carrosserieherstel","G","45","2","0"
"45.20.5","Overige gespecialiseerde reparatie en slepen van auto's","G","45","2","0"
"45.31","Groothandel en handelsbemiddeling in auto-onderdelen en -accessoires","G","45","3","1"
"45.31.1","Groothandel en handelsbemiddeling in auto-onderdelen en -accessoires (geen banden)","G","45","3","1"
"45.31.2","Groothandel en handelsbemiddeling in banden","G","45","3","1"
"45.32","Detailhandel in auto-onderdelen en -accessoires","G","45","3","2"
"45.40","Handel in en reparatie van motorfietsen en onderdelen daarvan","G","45","4","0"
"45.40.1","Groothandel en handelsbemiddeling in motorfietsen en onderdelen daarvan","G","45","4","0"
"45.40.2","Detailhandel in en reparatie van motorfietsen en onderdelen daarvan","G","45","4","0"
"46.11","Handelsbemiddeling in landbouwproducten, levende dieren en grondstoffen voor textiel en","G","46","1","1"
"46.12","Handelsbemiddeling in brandstoffen, ertsen, metalen en chemische producten ","G","46","1","2"
"46.13","Handelsbemiddeling in hout, vlakglas, sanitair en bouwmaterialen ","G","46","1","3"
"46.14","Handelsbemiddeling in machines, technische benodigdheden, schepen en vliegtuigen","G","46","1","4"
"46.15","Handelsbemiddeling in meubels, huishoudelijke artikelen en ijzerwaren ","G","46","1","5"
"46.16","Handelsbemiddeling in textiel, kleding, schoeisel en lederwaren","G","46","1","6"
"46.17","Handelsbemiddeling in voedings- en genotmiddelen","G","46","1","7"
"46.18","Handelsbemiddeling gespecialiseerd in overige goederen","G","46","1","8"
"46.19","Niet-gespecialiseerde handelsbemiddeling ","G","46","1","9"
"46.21","Groothandel in granen, ruwe tabak, oliën, zaden en veevoer  ","G","46","2","1"
"46.21.1","Groothandel in granen                                                  ","G","46","2","1"
"46.21.2","Groothandel in zaden, pootgoed en peulvruchten ","G","46","2","1"
"46.21.3","Groothandel in hooi, stro en ruwvoeder ","G","46","2","1"
"46.21.4","Groothandel in meng- en krachtvoeder ","G","46","2","1"
