"code","labels","SBI1","SBI2","SBI3","SBI4"
"50.2","Zee- en kustvaart (vracht-, tank- en sleepvaart)","H","50","2",
"50.3","Binnenvaart (passagiersvaart en veerdiensten)","H","50","3",
"50.4","Binnenvaart (vracht-, tank- en sleepvaart)","H","50","4",
"51.1","Personenvervoer door de lucht","H","51","1",
"51.2","Goederenvervoer door de lucht","H","51","2",
"52.1","Opslag","H","52","1",
"52.2","Dienstverlening voor vervoer","H","52","2",
"53.1","Nationale post met universele dienstverplichting","H","53","1",
"53.2","Post zonder universele dienstverplichting en koeriers","H","53","2",
"55.1","Hotels e.d.","I","55","1",
"55.2","Verhuur van vakantiehuisjes en appartementen; jeugdherbergen en vakantiekampen ","I","55","2",
"55.3","Kampeerterreinen","I","55","3",
"55.9","Overige logiesverstrekking","I","55","9",
"56.1","Restaurants, cafetaria's e.d.","I","56","1",
"56.2","Kantines en catering","I","56","2",
"56.3","Cafés","I","56","3",
"58.1","Uitgeverijen van boeken, tijdschriften e.d.","J","58","1",
"58.2","Uitgeverijen van software","J","58","2",
"59.1","Productie en distributie van films en televisieprogramma's","J","59","1",
"59.2","Maken en uitgeven van geluidsopnamen ","J","59","2",
"60.1","Radio-omroepen","J","60","1",
"60.2","Televisie-omroepen","J","60","2",
"61.1","Draadgebonden telecommunicatie","J","61","1",
"61.2","Draadloze telecommunicatie","J","61","2",
"61.3","Telecommunicatie via satelliet","J","61","3",
"61.9","Overige telecommunicatie","J","61","9",
"62.0","Dienstverlenende activiteiten op het gebied van informatietechnologie","J","62","0",
"63.1","Gegevensverwerking, webhosting en aanverwante activiteiten; webportalen","J","63","1",
"63.2","Overige dienstverlenende activiteiten op het gebied van informatie","J","63","2",
"64.1","Geldscheppende financiële instellingen","K","64","1",
"64.2","Financiële holdings","K","64","2",
"64.3","Beleggingsinstellingen","K","64","3",
"64.9","Kredietverstrekking en overige financiële intermediatie","K","64","9",
"65.1","Verzekeringen (geen herverzekering)","K","65","1",
"65.2","Herverzekering","K","65","2",
"65.3","Pensioenfondsen","K","65","3",
"66.1","Financiële bemiddeling, advisering e.d. (niet voor verzekeringen en pensioenfondsen)","K","66","1",
"66.2","Dienstverlening op het gebied van verzekeringen en pensioenfondsen","K","66","2",
"66.3","Vermogensbeheer","K","66","3",
"68.1","Handel in eigen onroerend goed","L","68","1",
"68.2","Verhuur van onroerend goed","L","68","2",
"68.3","Bemiddeling in en beheer van onroerend","L","68","3",
"69.1","Rechtskundige dienstverlening","M","69","1",
"69.2","Accountancy, belastingadvisering en administratie","M","69","2",
"70.1","Holdings (geen financiële) en concerndiensten binnen eigen concern","M","70","1",
"70.2","Advisering op het gebied van management en bedrijfsvoering","M","70","2",
"71.1","Architecten, ingenieurs en technisch ontwerp en advies","M","71","1",
"71.2","Keuring en controle","M","71","2",
"72.1","Natuurwetenschappelijk speur- en ontwikkelingswerk","M","72","1",
"72.2","Speur- en ontwikkelingswerk op het gebied van de maatschappij- en geesteswetenschappen","M","72","2",
"73.1","Reclamebureaus en  handel in advertentieruimte en -tijd","M","73","1",
"73.2","Markt- en opinieonderzoekbureaus","M","73","2",
"74.1","Industrieel ontwerp en vormgeving","M","74","1",
"74.2","Fotografie en ontwikkelen van foto's en films","M","74","2",
"74.3","Vertalers en tolken","M","74","3",
"74.9","Overige specialistische zakelijke dienstverlening  ","M","74","9",
"75.0","Veterinaire dienstverlening","M","75","0",
"77.1","Verhuur en lease van auto's","N","77","1",
"77.2","Verhuur van consumentenartikelen","N","77","2",
"77.3","Verhuur en lease van machines en werktuigen en van overige goederen","N","77","3",
"77.4","Lease van niet-financiële immateriële activa","N","77","4",
"78.1","Arbeidsbemiddeling","N","78","1",
"78.2","Uitzendbureaus, uitleenbureaus en banenpools","N","78","2",
"78.3","Payrolling (personeelsbeheer)","N","78","3",
"79.1","Reisbemiddeling en reisorganisatie","N","79","1",
"79.9","Informatieverstrekking op het gebied van toerisme en reserveringsbureaus","N","79","9",
"80.1","Particuliere beveiliging ","N","80","1",
"80.2","Beveiliging via  beveiligingssystemen","N","80","2",
"80.3","Opsporing","N","80","3",
"81.1","Facility management","N","81","1",
"81.2","Reiniging","N","81","2",
"81.3","Landschapsverzorging","N","81","3",
"82.1","Brede administratieve en secretariële dienstverlening ","N","82","1",
"82.2","Callcenters","N","82","2",
"82.3","Organiseren van congressen en beurzen","N","82","3",
"82.9","Overige zakelijke dienstverlening n.e.g.","N","82","9",
"84.1","Openbaar bestuur","O","84","1",
"84.2","Overheidsdiensten","O","84","2",
"84.3","Verplichte sociale verzekeringen","O","84","3",
"85.2","Primair en speciaal onderwijs","P","85","2",
"85.3","Voortgezet onderwijs","P","85","3",
"85.4","Tertiair onderwijs","P","85","4",
"85.5","Overig onderwijs","P","85","5",
"85.6","Dienstverlening voor het onderwijs","P","85","6",
"86.1","Ziekenhuizen","Q","86","1",
"86.2","Medische en tandheelkundige praktijken ","Q","86","2",
"86.9","Paramedische praktijken en overige gezondheidszorg zonder overnachting","Q","86","9",
"87.1","Verpleeghuizen","Q","87","1",
"87.2","Huizen en dagverblijven voor verstandelijk gehandicapten en psychiatrische cliënten","Q","87","2",
"87.3","Huizen en dagverblijven voor niet-verstandelijk gehandicapten en verzorgingshuizen ","Q","87","3",
"87.9","Jeugdzorg en maatschappelijke opvang met overnachting","Q","87","9",
"88.1","Maatschappelijke dienstverlening zonder overnachting gericht op ouderen en  gehandicapten","Q","88","1",
"88.9","Maatschappelijke dienstverlening zonder overnachting niet specifiek gericht op ouderen en ","Q","88","9",
"90.0","Kunst","R","90","0",
"91.0","Culturele uitleencentra, openbare archieven, musea, dieren- en plantentuinen, natuurbehoud","R","91","0",
"92.0","Loterijen en kansspelen","R","92","0",
"93.1","Sport","R","93","1",
"93.2","Overige recreatie","R","93","2",
"94.1","Bedrijfs-, werkgevers- en beroepsorganisaties","S","94","1",
"94.2","Werknemersorganisaties","S","94","2",
"94.9","Levensbeschouwelijke en politieke organisaties, belangen- en ideële organisaties, hobbyclubs","S","94","9",
"95.1","Reparatie van computers en communicatieapparatuur","S","95","1",
"95.2","Reparatie van consumentenartikelen (geen computers, communicatieapparatuur, auto's en ","S","95","2",
"96.0","Wellness en overige dienstverlening; uitvaartbranche","S","96","0",
"97.0","Huishoudens als werkgever van huishoudelijk personeel","T","97","0",
"98.1","Niet-gespecificeerde productie van goederen door particuliere huishoudens voor eigen gebruik","T","98","1",
"98.2","Niet-gespecificeerde productie van diensten door particuliere huishoudens voor eigen gebruik","T","98","2",
"99.0","Extraterritoriale organisaties en lichamen","U","99","0",
