"code","labels","SBI1","SBI2","SBI3","SBI4"
"01.1","Teelt van eenjarige gewassen","A","01","1",
"01.2","Teelt van meerjarige gewassen","A","01","2",
"01.3","Teelt van sierplanten","A","01","3",
"01.4","Fokken en houden van dieren","A","01","4",
"01.5","Akker- en/of tuinbouw in combinatie met het fokken en houden van dieren ","A","01","5",
"01.6","Dienstverlening voor de landbouw; behandeling van gewassen en zaden na de oogst","A","01","6",
"01.7","Jacht","A","01","7",
"02.1","Bosbouw","A","02","1",
"02.2","Exploitatie van bossen","A","02","2",
"02.4","Dienstverlening voor de bosbouw","A","02","4",
"03.1","Visserij","A","03","1",
"03.2","Kweken van vis en schaaldieren ","A","03","2",
"06.1","Winning van aardolie","B","06","1",
"06.2","Winning van aardgas","B","06","2",
"08.1","Winning van zand, grind en klei","B","08","1",
"08.9","Winning van overige delfstoffen","B","08","9",
"09.1","Dienstverlening voor de winning van aardolie en aardgas","B","09","1",
"09.9","Dienstverlening voor de winning van delfstoffen (geen olie en gas)","B","09","9",
"10.1","Slachterijen en vleesverwerking","C","10","1",
"10.2","Visverwerking","C","10","2",
"10.3","Verwerking van aardappels, groente en fruit","C","10","3",
"10.4","Vervaardiging van plantaardige en dierlijke oliën en vetten ","C","10","4",
"10.5","Vervaardiging van zuivelproducten","C","10","5",
"10.6","Vervaardiging van meel","C","10","6",
"10.7","Vervaardiging van brood, banketbakkerswerk en deegwaren","C","10","7",
"10.8","Vervaardiging van overige voedingsmiddelen","C","10","8",
"10.9","Vervaardiging van diervoeders","C","10","9",
"11.0","Vervaardiging van dranken","C","11","0",
"12.0","Vervaardiging van tabaksproducten","C","12","0",
"13.1","Bewerken en spinnen van textielvezels","C","13","1",
"13.2","Weven van textiel","C","13","2",
"13.3","Textielveredeling","C","13","3",
"13.9","Vervaardiging van overige  textielproducten","C","13","9",
"14.1","Vervaardiging van kleding (geen bontkleding)","C","14","1",
"14.2","Vervaardiging van artikelen van bont","C","14","2",
"14.3","Vervaardiging van gebreide en gehaakte kleding","C","14","3",
"15.1","Looien en bewerken van leer; vervaardiging van koffers, tassen, zadel- en tuigmakerswerk; bereiden ","C","15","1",
"15.2","Vervaardiging van schoenen","C","15","2",
"16.1","Primaire houtbewerking en verduurzamen van hout","C","16","1",
"16.2","Vervaardiging van artikelen van hout, kurk, riet en vlechtwerk (geen meubels)","C","16","2",
"17.1","Vervaardiging van papierpulp, papier en karton","C","17","1",
"17.2","Vervaardiging van papier- en kartonwaren","C","17","2",
"18.1","Drukkerijen en dienstverlening voor drukkerijen","C","18","1",
"18.2","Reproductie van opgenomen media","C","18","2",
"19.1","Vervaardiging van cokesovenproducten","C","19","1",
"19.2","Aardolieverwerking","C","19","2",
"20.1","Vervaardiging van chemische basisproducten, kunstmeststoffen en stikstofverbindingen en van","C","20","1",
"20.2","Vervaardiging van verdelgingsmiddelen en overige landbouwchemicaliën","C","20","2",
"20.3","Vervaardiging van verf, vernis e.d., drukinkt en mastiek","C","20","3",
"20.4","Vervaardiging van zeep, wasmiddelen, poets- en reinigingsmiddelen, parfums en cosmetica","C","20","4",
"20.5","Vervaardiging van  overige chemische producten","C","20","5",
"20.6","Vervaardiging van synthetische en kunstmatige vezels","C","20","6",
"21.1","Vervaardiging van farmaceutische grondstoffen","C","21","1",
"21.2","Vervaardiging van farmaceutische producten (geen grondstoffen)","C","21","2",
"22.1","Vervaardiging van producten van rubber","C","22","1",
"22.2","Vervaardiging van producten van kunststof","C","22","2",
"23.1","Vervaardiging van glas en glaswerk","C","23","1",
"23.2","Vervaardiging van vuurvaste keramische producten","C","23","2",
"23.3","Vervaardiging van keramische producten voor de bouw ","C","23","3",
"23.4","Vervaardiging van overige keramische producten","C","23","4",
"23.5","Vervaardiging van cement, kalk en gips","C","23","5",
"23.6","Vervaardiging van producten van beton, gips en cement","C","23","6",
"23.7","Natuursteenbewerking","C","23","7",
"23.9","Vervaardiging van overige niet-metaalhoudende minerale producten","C","23","9",
"24.1","Vervaardiging van ijzer en staal en van ferrolegeringen","C","24","1",
"24.2","Vervaardiging van stalen buizen, pijpen, holle profielen en fittings daarvoor","C","24","2",
"24.3","Overige eerste verwerking van staal","C","24","3",
"24.4","Vervaardiging van edelmetalen en  overige non-ferrometalen","C","24","4",
"24.5","Gieten van metalen","C","24","5",
"25.1","Vervaardiging van metalen producten voor de bouw ","C","25","1",
"25.2","Vervaardiging van reservoirs van metaal en van ketels en radiatoren voor centrale verwarming ","C","25","2",
"25.3","Vervaardiging van stoomketels (geen ketels voor centrale verwarming)","C","25","3",
"25.4","Vervaardiging van wapens en munitie","C","25","4",
"25.5","Smeden, persen, stampen en profielwalsen van metaal; poedermetallurgie","C","25","5",
"25.6","Oppervlaktebehandeling en bekleding van metaal; algemene metaalbewerking ","C","25","6",
"25.7","Vervaardiging van scharen, messen en  bestek, hang- en sluitwerk en gereedschap","C","25","7",
"25.9","Vervaardiging van overige producten van metaal","C","25","9",
"26.1","Vervaardiging van elektronische componenten en printplaten","C","26","1",
"26.2","Vervaardiging van computers en randapparatuur","C","26","2",
"26.3","Vervaardiging van communicatieapparatuur","C","26","3",
"26.4","Vervaardiging van consumentenelektronica","C","26","4",
"26.5","Vervaardiging van meet-, regel-, navigatie- en controleapparatuur en van uurwerken","C","26","5",
"26.6","Vervaardiging van bestralingsapparatuur en van elektromedische en elektrotherapeutische ","C","26","6",
"26.7","Vervaardiging van optische instrumenten en apparatuur","C","26","7",
"26.8","Vervaardiging van informatiedragers","C","26","8",
"27.1","Vervaardiging van elektromotoren, elektrische generatoren en transformatoren en van schakel- en ","C","27","1",
"27.2","Vervaardiging van batterijen en accumulatoren","C","27","2",
"27.3","Vervaardiging van elektrische en elektronische kabels en van schakelaars, stekkers, stopcontacten","C","27","3",
"27.4","Vervaardiging van elektrische lampen en verlichtingsapparaten ","C","27","4",
"27.5","Vervaardiging van huishoudapparaten","C","27","5",
"27.9","Vervaardiging van overige elektrische apparatuur","C","27","9",
"28.1","Vervaardiging van motoren, turbines, pompen, compressoren, appendages en drijfwerkelementen","C","28","1",
"28.2","Vervaardiging van overige machines en apparaten voor algemeen gebruik","C","28","2",
"28.3","Vervaardiging van machines en werktuigen voor de land- en bosbouw","C","28","3",
"28.4","Vervaardiging van gereedschapswerktuigen ","C","28","4",
"28.9","Vervaardiging van overige machines, apparaten en werktuigen voor specifieke doeleinden","C","28","9",
"29.1","Vervaardiging van auto's","C","29","1",
"29.2","Carrosseriebouw; vervaardiging van aanhangwagens en opleggers","C","29","2",
"29.3","Vervaardiging van onderdelen en toebehoren voor auto's ","C","29","3",
"30.1","Scheepsbouw","C","30","1",
"30.2","Vervaardiging van rollend spoor- en tramwegmaterieel","C","30","2",
"30.3","Vervaardiging van vliegtuigen en onderdelen daarvoor","C","30","3",
"30.4","Vervaardiging van militaire gevechtsvoertuigen","C","30","4",
"30.9","Vervaardiging van transportmiddelen n.e.g.","C","30","9",
"31.0","Vervaardiging van meubels","C","31","0",
"32.1","Slaan van munten; bewerken van edelstenen en vervaardiging van sieraden e.d.","C","32","1",
"32.2","Vervaardiging van muziekinstrumenten","C","32","2",
"32.3","Vervaardiging van sportartikelen","C","32","3",
"32.4","Vervaardiging van speelgoed en spellen","C","32","4",
"32.5","Vervaardiging van medische instrumenten en hulpmiddelen","C","32","5",
"32.9","Vervaardiging van overige goederen","C","32","9",
"33.1","Reparatie van producten van metaal, machines en apparatuur","C","33","1",
"33.2","Installatie van industriële machines en apparatuur","C","33","2",
"35.1","Productie van elektriciteit; transmissie en distributie van elektriciteit en aardgas","D","35","1",
"35.2","Productie van aardgas","D","35","2",
"35.3","Productie en distributie van stoom en gekoelde lucht","D","35","3",
"36.0","Winning en distributie van water","E","36","0",
"37.0","Afvalwaterinzameling en -behandeling","E","37","0",
"38.1","Inzameling van afval","E","38","1",
"38.2","Behandeling van afval","E","38","2",
"38.3","Voorbereiding tot recycling","E","38","3",
"39.0","Sanering en overig afvalbeheer","E","39","0",
"41.1","Projectontwikkeling","F","41","1",
"41.2","Algemene burgerlijke en utiliteitsbouw","F","41","2",
"42.1","Bouw van wegen, spoorwegen en kunstwerken","F","42","1",
"42.2","Leggen van kabels en buizen ","F","42","2",
"42.9","Bouw van overige civieltechnische werken","F","42","9",
"43.1","Slopen van bouwwerken, grondverzet en proefboren","F","43","1",
"43.2","Bouwinstallatie","F","43","2",
"43.3","Afwerking van gebouwen","F","43","3",
"43.9","Dakbouw en overige gespecialiseerde werkzaamheden in de bouw","F","43","9",
"45.1","Handel in auto's en aanhangers, eventueel gecombineerd met reparatie","G","45","1",
"45.2","Gespecialiseerde reparatie van auto's","G","45","2",
"45.3","Handel in auto-onderdelen en -accessoires ","G","45","3",
"45.4","Handel in en reparatie van motorfietsen en onderdelen daarvan ","G","45","4",
"46.1","Handelsbemiddeling","G","46","1",
"46.2","Groothandel in landbouwproducten en levende dieren","G","46","2",
"46.3","Groothandel in voedings- en genotmiddelen","G","46","3",
"46.4","Groothandel in consumentenartikelen (non-food)","G","46","4",
"46.5","Groothandel in ICT-apparatuur","G","46","5",
"46.6","Groothandel in machines, apparaten en toebehoren voor industrie en handel","G","46","6",
"46.7","Overige gespecialiseerde groothandel","G","46","7",
"46.9","Niet-gespecialiseerde groothandel","G","46","9",
"47.1","Supermarkten, warenhuizen en dergelijke winkels met een algemeen assortiment","G","47","1",
"47.2","Gespecialiseerde winkels in voedings- en genotmiddelen ","G","47","2",
"47.3","Benzinestations","G","47","3",
"47.4","Winkels in consumenten-elektronica","G","47","4",
"47.5","Winkels in overige huishoudelijke artikelen","G","47","5",
"47.6","Winkels in lectuur, sport-, kampeer- en recreatie-artikelen","G","47","6",
"47.7","Winkels in overige artikelen","G","47","7",
"47.8","Markthandel","G","47","8",
"47.9","Detailhandel niet via winkel of markt","G","47","9",
"49.1","Personenvervoer per spoor (geen tram of metro)","H","49","1",
"49.2","Goederenvervoer per spoor","H","49","2",
"49.3","Personenvervoer over de weg","H","49","3",
"49.4","Goederenvervoer over de weg","H","49","4",
"49.5","Transport via pijpleidingen","H","49","5",
"50.1","Zee- en kustvaart (passagiersvaart en veerdiensten)","H","50","1",
